codigo,nombre_puesto,area_departamento,puesto_reporta,ubicacion,horario,descripcion_puesto,objetivo_puesto,requerimientos_minimos,escolaridad_detectada,experiencia_detectada,ingles_detectado,software_detectado,hardware_detectado,cualidades,habilidades,responsabilidades,activo
ATC-001,Atención al Cliente,Atención al Cliente,Gerente de Marketing,Oficinas,Lunes a viernes de 8:00 a 18:00,Brinda atención y seguimiento a clientes.,Garantizar la satisfacción del cliente.,Carrera técnica o licenciatura. Experiencia mínima de 2 años.,Licenciatura,2 años,Intermedio,"CRM, Office, Desk","Computadora, diadema","Empatía, paciencia, responsabilidad","Comunicación verbal y escrita, resolución de problemas","Atender consultas, resolver problemas, registrar interacciones y dar seguimiento.",1
SIS-001,Desarrollador Web,Sistemas / TI,Jefe de Sistemas,Oficinas,Lunes a viernes de 8:00 a 18:00,Desarrollar y mantener aplicaciones internas.,Automatizar procesos y mejorar sistemas internos.,Ingeniería o licenciatura en sistemas.,Licenciatura,3 a 5 años,Intermedio,"PHP, Laravel, MySQL, Git",Laptop,"Analítico, ordenado, responsable","PHP, Laravel, MySQL, Git","Crear módulos, corregir errores y documentar cambios.",1
RH-001,Analista de Atracción de Talento,Recursos Humanos,Gerente de Recursos Humanos,Oficinas,Lunes a viernes de 8:00 a 18:00,Gestionar reclutamiento y entrevistas.,Cubrir vacantes en tiempo y forma.,Licenciatura en psicología RH o afín.,Licenciatura,1 a 2 años,Básico,"Office, RH Flex",Laptop,"Organización, comunicación, confidencialidad","Entrevistas, filtros, bolsas de trabajo","Publicar vacantes, filtrar candidatos y coordinar entrevistas.",1
VEN-001,Ejecutivo Comercial JR,Ventas,Gerente Comercial,Oficinas,Lunes a viernes de 8:00 a 18:00,Prospectar y atender clientes.,Incrementar cartera y ventas.,Preparatoria o licenciatura.,Preparatoria,1 a 2 años,Básico,"CRM, Office",Laptop,"Negociación, servicio, seguimiento","Ventas, CRM, atención al cliente","Prospectar, cotizar, cerrar ventas y dar seguimiento.",1
ALM-001,Supervisor de Almacén,Almacén,Jefe de Almacén,Acatlán,Lunes a sábado de 6:00 a 13:30,Supervisar entradas salidas e inventarios.,Asegurar control operativo de almacén.,Bachillerato o carrera técnica.,Bachillerato,3 a 5 años,Ninguno,"Excel, sistema interno",Computadora,"Orden, liderazgo, responsabilidad","Inventarios, logística, manejo de personal","Supervisar equipo, inventarios y surtido de pedidos.",1
MKT-001,Community Manager,Marketing,Gerente de Mercadotecnia,Oficinas,Lunes a viernes de 8:00 a 18:00,Gestionar redes sociales y comunidad digital.,Fortalecer presencia digital de marca.,Licenciatura en comunicación o marketing.,Licenciatura,1 a 2 años,Intermedio,"Meta Business, Canva, Office",Laptop,"Creatividad, redacción, organización","Redes sociales, copywriting, métricas","Programar contenido, responder comunidad y reportar resultados.",1
CAL-001,Inspector de Calidad,Aseguramiento de Calidad,Jefe de Aseguramiento de Calidad,Acatlán,Lunes a sábado de 6:00 a 13:30,Verificar cumplimiento de estándares de calidad.,Reducir defectos y asegurar calidad del producto.,Carrera técnica o ingeniería.,Carrera técnica,1 a 2 años,Ninguno,Excel,Computadora,"Observación, disciplina, atención al detalle","Inspección, registros, normas de calidad","Inspeccionar producto y documentar hallazgos.",1
MAN-001,Técnico Mecánico,Mantenimiento,Jefe de Mantenimiento,Acatlán,Lunes a sábado de 6:00 a 13:30,Mantener equipos mecánicos en operación.,Reducir paros por fallas mecánicas.,Técnico mecánico o afín.,Carrera técnica,3 a 5 años,Ninguno,N/A,Herramienta,"Responsabilidad, solución de problemas","Mecánica industrial, mantenimiento preventivo","Ejecutar mantenimiento y registrar actividades.",1
COM-001,Comprador JR,Compras,Jefe de Compras,Oficinas,Lunes a viernes de 8:00 a 18:00,Apoyar procesos de compra y negociación.,Asegurar abasto oportuno.,Licenciatura administrativa o afín.,Licenciatura,1 a 2 años,Básico,"Netsuite, Office",Laptop,"Negociación, orden, análisis","Compras, proveedores, cotizaciones","Solicitar cotizaciones, generar órdenes y seguimiento.",1
LAB-001,Analista de Laboratorio,Laboratorio,Jefe de Laboratorio,Acatlán,Lunes a viernes de 8:00 a 18:00,Realizar análisis y pruebas de laboratorio.,Asegurar resultados confiables para producción.,Químico laboratorista o afín.,Licenciatura,1 a 2 años,Básico,"Excel, sistema laboratorio",Computadora,"Precisión, orden, disciplina","Buenas prácticas de laboratorio","Realizar pruebas, registrar resultados y reportar desviaciones.",1
